"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT2G34690",4.08145419306274e-128,1.75028181465776,0.754,0.03,8.38453134880879e-124
"AT3G01280",4.93786782521581e-128,1.43850335835072,0.763,0.034,1.01438618733408e-123
"AT3G11630",5.44808807933784e-128,1.78256229292444,0.99,0.211,1.11920073413837e-123
"AT1G49500",5.50106384995027e-128,1.10770113975755,0.92,0.11,1.13008354669528e-123
"AT2G37660",5.72130824628245e-128,0.584748310293211,0.902,0.101,1.1753283530338e-123
"AT3G14290",6.17456354748194e-128,0.952945458234182,0.781,0.042,1.26844058955922e-123
"AT1G74970",6.63643660894145e-128,1.67553265340709,0.987,0.182,1.36332317257484e-123
"AT4G22240",9.42167352514057e-128,0.839871630523237,0.897,0.097,1.93549439226963e-123
"AT2G21385",1.01707047043104e-127,1.98737475382041,0.735,0.023,2.08936786740649e-123
"AT3G26060",1.02105033527602e-127,1.17271084271439,0.962,0.135,2.09754370375752e-123
"AT3G44260",1.0269796084188e-127,5.56301313962241,0.697,0.004,2.10972420957474e-123
"AT2G04700",1.14074883534154e-127,1.58329710657906,0.985,0.163,2.34344033244213e-123
"AT1G26880",1.28810608190627e-127,1.36346028807064,0.766,0.036,2.64615632406004e-123
"AT5G54600",1.36927669707572e-127,1.67568274375451,0.992,0.188,2.81290511880266e-123
"AT5G15320",1.37088476352951e-127,0.813491099957027,0.808,0.055,2.81620856971867e-123
"AT1G65960",1.3984261173503e-127,0.92648653235922,0.959,0.129,2.87278677287271e-123
"AT5G42650",1.46341445317277e-127,-2.02369704154226,0.989,0.928,3.00629231115283e-123
"AT4G24770",1.46500932634896e-127,1.56528216559965,0.996,0.385,3.00956865911867e-123
"AT1G48300",1.62408194991932e-127,1.16525883705622,0.865,0.082,3.33635154971925e-123
"AT2G28000",1.63449081041443e-127,1.98378175467287,0.754,0.032,3.35773447183436e-123
"AT1G02150",1.72029772875489e-127,2.02678227008739,0.724,0.017,3.53400762418117e-123
"AT2G44620",1.8314914427776e-127,0.804989816132363,0.825,0.063,3.76243287089801e-123
"AT5G38430",2.43045753124589e-127,1.87849502033274,0.984,0.199,4.99288890643843e-123
"AT2G25080",3.17042508671828e-127,1.189421798346,0.966,0.142,6.51300425564536e-123
"AT5G53310",3.19264349186801e-127,0.599182440875282,0.845,0.074,6.55864752534445e-123
"AT4G11150",3.45244425945678e-127,0.712625811938886,0.888,0.093,7.09235624220207e-123
"AT5G38520",3.9285122699104e-127,1.15412342878391,0.796,0.051,8.07034275607694e-123
"AT3G47650",4.04387070391312e-127,1.27770130325796,0.968,0.137,8.30732358704873e-123
"AT1G14345",4.69309400558135e-127,2.88546973955154,0.718,0.015,9.64102301566576e-123
"AT5G06360",4.74957670920479e-127,1.57795246073561,0.75,0.03,9.75705543371941e-123
"AT1G54580",5.02348083892642e-127,1.79735587936729,0.754,0.032,1.03197366874066e-122
"AT1G09590",6.60516464774529e-127,1.14354952251471,0.773,0.04,1.35689897358631e-122
"AT4G27280",8.27184218644963e-127,1.68963695013372,0.979,0.169,1.69928454036235e-122
"AT4G30220",8.35496397989587e-127,1.73306814174965,0.749,0.03,1.71636025039001e-122
"AT3G56130",9.46504309396373e-127,5.06467301095333,0.69,0.002,1.94440380279297e-122
"AT5G47640",1.24123473272554e-126,3.34974747477574,0.698,0.006,2.54986851143808e-122
"AT2G35490",1.58803514852536e-126,1.0035114049935,0.782,0.047,3.26230060561564e-122
"AT1G20810",1.61498083520215e-126,1.08553540924806,0.753,0.032,3.31765512975578e-122
"AT5G42790",1.6901514873322e-126,0.924604304322829,0.821,0.063,3.47207820042654e-122
"AT2G29400",1.71164233056316e-126,1.17604885490912,0.816,0.061,3.51622683967589e-122
"AT3G52180",2.10277989418467e-126,0.701912270724191,0.803,0.055,4.31974073662356e-122
"AT5G40500",2.40312022516786e-126,1.40103323462048,0.766,0.038,4.93672987856234e-122
"AT4G21960",2.4551973061965e-126,1.83169246073192,0.994,0.302,5.04371182611947e-122
"AT1G21600",2.51178326375092e-126,1.68464885999507,0.74,0.027,5.15995635872351e-122
"AT1G62040",2.5830964999603e-126,0.814224826092481,0.794,0.051,5.30645513986844e-122
"AT4G30010",2.85064301455256e-126,0.797933159568904,0.89,0.097,5.85607594479532e-122
"AT5G44340",2.91797993513767e-126,0.659076694990725,0.882,0.093,5.99440618075331e-122
"AT4G09320",3.20346745519392e-126,1.47291370469582,0.976,0.156,6.58088319320487e-122
"AT1G06040",3.27940744369138e-126,0.948730812609569,0.786,0.049,6.73688671157521e-122
"AT5G24165",3.46972029792974e-126,0.52764456345651,0.89,0.095,7.12784640803706e-122
"AT5G46030",3.5905556439936e-126,0.474674353532003,0.852,0.078,7.37607845945605e-122
"AT3G56910",5.41954710561174e-126,1.78766354728359,0.996,0.247,1.11333756190582e-121
"AT4G29480",5.73717832621263e-126,1.18093016099177,0.774,0.042,1.17858854355386e-121
"AT2G45990",6.23770158653827e-126,1.55848470872076,0.754,0.034,1.28141103692256e-121
"AT1G27385",6.70894745698857e-126,1.28656481352549,0.759,0.036,1.37821907608916e-121
