,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,significant,p_val_adj_plot,gene,cluster
2606,4.65E-19,0.576305714,0.265,0.223,9.56E-15,Yes,9.56E-15,AT2G26080,"3, 8, 11, 13"
2607,6.23E-19,0.351741739,0.591,0.549,1.28E-14,No,1.28E-14,AT5G27850,"4, 5, 9, 13, 18"
2608,6.69E-19,0.365660049,0.464,0.436,1.38E-14,No,1.38E-14,AT5G23040,"1, 8, 11, 12, 13"
2609,7.04E-19,0.52545114,0.364,0.328,1.45E-14,Yes,1.45E-14,AT1G17470,"8, 9, 11, 13, 18"
2610,7.21E-19,0.565902409,0.315,0.275,1.48E-14,Yes,1.48E-14,AT4G30760,"4, 7, 8, 9, 11, 13, 18"
2611,7.50E-19,0.300246317,0.595,0.564,1.54E-14,No,1.54E-14,AT4G09800,"4, 5, 7, 8, 9, 11, 13, 18"
2612,9.29E-19,-0.296376747,0.253,0.317,1.91E-14,No,1.91E-14,AT3G10970,"1, 11"
2613,1.26E-18,0.423177419,0.514,0.482,2.59E-14,No,2.59E-14,AT1G76080,"1, 4, 8, 10, 11"
2614,1.28E-18,0.334491851,0.348,0.309,2.62E-14,No,2.62E-14,AT3G28715,"9, 10, 13, 18"
2615,1.30E-18,0.478485684,0.395,0.359,2.67E-14,No,2.67E-14,AT2G04390,"4, 9, 11, 13"
2616,1.44E-18,0.40887669,0.374,0.34,2.95E-14,No,2.95E-14,AT2G46505,"7, 9, 10, 12, 13"
2617,1.45E-18,0.708029347,0.262,0.223,2.98E-14,Yes,2.98E-14,AT1G01910,"6, 8, 9, 11, 13, 18"
2618,1.51E-18,0.478683625,0.328,0.289,3.11E-14,No,3.11E-14,AT3G47833,"7, 8, 9, 10, 11, 12, 13"
2619,1.60E-18,0.364653472,0.388,0.35,3.29E-14,No,3.29E-14,AT5G19120,"7, 8, 11, 14, 15, 16"
2620,1.68E-18,0.265125814,0.723,0.711,3.46E-14,No,3.46E-14,AT2G46330,"0, 3, 6, 9, 10, 14, 18"
2621,1.78E-18,-0.487950125,0.209,0.261,3.65E-14,No,3.65E-14,AT3G13275,"0, 2, 7, 16"
2622,1.79E-18,0.414596665,0.426,0.391,3.68E-14,No,3.68E-14,AT4G34265,"5, 8, 9, 11, 12, 13"
2623,1.89E-18,0.554158262,0.29,0.252,3.89E-14,Yes,3.89E-14,AT2G38025,"8, 9, 11, 12, 13"
2624,1.97E-18,-0.463601536,0.741,0.769,4.05E-14,No,4.05E-14,AT3G48520,"0, 3, 6, 10, 14, 16"
2625,2.09E-18,0.335856362,0.336,0.288,4.29E-14,No,4.29E-14,AT1G63500,"0, 2, 3, 6, 10, 12"
2626,2.10E-18,0.384217687,0.286,0.242,4.32E-14,No,4.32E-14,AT3G04210,"3, 6, 8, 13, 14, 17"
2627,2.14E-18,-0.51464143,0.212,0.266,4.40E-14,Yes,4.40E-14,AT2G20740,"3, 6, 18"
2628,2.39E-18,0.292973693,0.503,0.463,4.92E-14,No,4.92E-14,AT1G56660,"3, 6, 9, 14, 17, 18"
2629,2.43E-18,-0.276045825,0.242,0.303,5.00E-14,No,5.00E-14,AT4G36020,"2, 7, 9, 10, 17"
2630,2.44E-18,0.438222617,0.361,0.326,5.02E-14,No,5.02E-14,AT3G17090,"6, 7, 11, 12, 13, 15"
2631,2.62E-18,0.615118531,0.288,0.249,5.39E-14,Yes,5.39E-14,AT2G34750,"8, 9, 11, 13, 18"
2632,2.74E-18,-0.44349485,0.286,0.346,5.63E-14,No,5.63E-14,AT3G47550,"0, 2, 3, 6, 14"
2633,2.75E-18,0.421846337,0.396,0.365,5.65E-14,No,5.65E-14,AT1G79210,"7, 9, 11, 13"
2634,3.10E-18,0.409458279,0.435,0.405,6.36E-14,No,6.36E-14,AT1G30580,"7, 9, 13, 18"
2635,3.22E-18,0.327528996,0.464,0.422,6.62E-14,No,6.62E-14,AT5G49450,"2, 7, 9, 10, 12, 16, 18"
2636,3.44E-18,-0.394277444,0.325,0.391,7.06E-14,No,7.06E-14,AT2G44500,"2, 3, 6, 14"
2637,3.78E-18,-0.28781456,0.52,0.579,7.77E-14,No,7.77E-14,AT1G07000,"2, 3, 7, 9"
2638,4.27E-18,0.432411935,0.262,0.219,8.78E-14,No,8.78E-14,AT2G03470,"6, 7, 9, 11"
2639,4.76E-18,0.394376181,0.499,0.477,9.78E-14,No,9.78E-14,AT5G47240,"0, 11, 12"
2640,5.31E-18,0.367522788,0.36,0.322,1.09E-13,No,1.09E-13,AT5G35620,"0, 9, 10, 12, 13"
2641,5.34E-18,0.331638762,0.388,0.347,1.10E-13,No,1.10E-13,AT3G12400,"0, 2, 7, 9, 10, 12, 16, 18"
2642,5.54E-18,-0.669932243,0.212,0.264,1.14E-13,Yes,1.14E-13,AT5G64740,0
2643,7.86E-18,0.480868358,0.367,0.33,1.62E-13,No,1.62E-13,AT3G49010,"7, 8, 9, 13, 18"
