"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"AT5G64240",0.0101215216390333,1.23005455533031,0.029,0.021,1,"AT5G64240","No"
"AT4G24440",0.010172031404475,0.19511038451833,0.63,0.676,1,"AT4G24440","No"
"AT5G01620",0.0101752600465938,-0.246038774012396,0.024,0.033,1,"AT5G01620","No"
"AT3G26810",0.0101841740130561,0.835049742474509,0.152,0.141,1,"AT3G26810","No"
"AT2G21500",0.0101874483658177,0.34052857566111,0.102,0.122,1,"AT2G21500","No"
"AT5G61220",0.0102384980086856,0.386867245042021,0.159,0.19,1,"AT5G61220","No"
"AT1G08315",0.0102541988028327,0.119527176993425,0.486,0.555,1,"AT1G08315","No"
"AT3G03305",0.0102788222748571,0.478178756362741,0.039,0.051,1,"AT3G03305","No"
"AT4G36520",0.0102894556838634,0.738678569177,0.137,0.124,1,"AT4G36520","No"
"AT1G03560",0.010299639401673,-0.162080413294528,0.009,0.014,1,"AT1G03560","No"
"AT2G40820",0.0103339149324228,-0.941981101546944,0.007,0.012,1,"AT2G40820","No"
"AT5G19030",0.010364544909013,0.659300763705047,0.31,0.315,1,"AT5G19030","No"
"AT5G47435",0.010411793434834,0.274117839141495,0.634,0.694,1,"AT5G47435","No"
"AT3G25900",0.010413738070277,0.10884270661312,0.034,0.045,1,"AT3G25900","No"
"AT1G78200",0.0104516252944334,0.635771680707591,0.286,0.29,1,"AT1G78200","No"
"AT3G02460",0.0105325233705875,0.118453895441705,0.118,0.14,1,"AT3G02460","No"
"AT5G41130",0.0105488144295383,0.203440472018369,0.005,0.01,1,"AT5G41130","No"
"AT5G58770",0.0105722381731995,0.938209639519173,0.089,0.076,1,"AT5G58770","No"
"AT5G02050",0.0105840970571692,0.793512953661791,0.056,0.045,1,"AT5G02050","No"
"AT1G60460",0.0106005298367179,-0.211856062502812,0.007,0.013,1,"AT1G60460","No"
"AT1G76510",0.0106127096058731,0.369852949430374,0.086,0.105,1,"AT1G76510","No"
"AT5G62910",0.0106263860736905,0.657160149156425,0.19,0.178,1,"AT5G62910","No"
"AT4G26620",0.010629147734185,0.626951175092545,0.187,0.176,1,"AT4G26620","No"
"AT3G13410",0.0106470206734631,0.334946109285708,0.613,0.679,1,"AT3G13410","No"
"AT4G38440",0.0106618816401172,1.15313401860699,0.032,0.024,1,"AT4G38440","No"
"AT5G53030",0.0107162222937096,-0.565851667979146,0.006,0.011,1,"AT5G53030","No"
"AT5G05440",0.0107495937446474,0.269199839343124,0.448,0.441,1,"AT5G05440","No"
"AT5G59440",0.010750288522186,0.480276915670371,0.136,0.123,1,"AT5G59440","No"
"AT1G21650",0.0107883386631755,0.130861367778136,0.024,0.033,1,"AT1G21650","No"
"AT1G74790",0.0107912278973123,0.419898470058435,0.029,0.039,1,"AT1G74790","No"
"AT3G57490",0.0108347773698455,0.753876914672421,0.074,0.062,1,"AT3G57490","No"
"AT4G14605",0.0108380865218517,0.322028165255663,0.051,0.065,1,"AT4G14605","No"
"AT5G13470",0.010856020159647,0.316727426762361,0.226,0.266,1,"AT5G13470","No"
"AT1G22620",0.0108564278543539,0.370179805797265,0.118,0.14,1,"AT1G22620","No"
"AT3G51550",0.0108837208768738,0.359615477620371,0.223,0.26,1,"AT3G51550","No"
"AT3G26360",0.0108942879931272,0.580765923822283,0.304,0.309,1,"AT3G26360","No"
"AT2G29340",0.0110139022754975,0.771120572390566,0.07,0.058,1,"AT2G29340","No"
"AT3G03860",0.0110646696018933,0.643352270427217,0.301,0.303,1,"AT3G03860","No"
"AT5G38460",0.0110824200090102,-0.145409551696359,0.008,0.014,1,"AT5G38460","No"
"AT3G10810",0.0110896272265087,0.308224145340051,0.051,0.065,1,"AT3G10810","No"
"AT5G36210",0.0111216397400621,0.24457444586186,0.152,0.178,1,"AT5G36210","No"
"AT5G10410",0.0111407955291714,0.695211690704287,0.045,0.035,1,"AT5G10410","No"
"AT4G03180",0.0111614284797016,0.140140441475503,0.07,0.086,1,"AT4G03180","No"
"AT3G43240",0.0111692194458783,1.19137043992994,0.083,0.071,1,"AT3G43240","No"
"AT5G49430",0.011175704555849,-0.107636298575962,0.012,0.019,1,"AT5G49430","No"
"AT4G18100",0.0111765805811701,0.113377468210739,0.714,0.796,1,"AT4G18100","No"
"AT1G49360",0.0111825003222104,0.808002324363145,0.017,0.011,1,"AT1G49360","No"
"AT1G79020",0.0111883498003893,0.743347945670242,0.094,0.081,1,"AT1G79020","No"
"AT3G12690",0.0111943623967679,-0.728223247683383,0.011,0.017,1,"AT3G12690","No"
"AT5G47650",0.0112375447276013,0.155841729587667,0.064,0.079,1,"AT5G47650","No"
"AT5G25890",0.0112511275140888,0.641763860158929,0.016,0.01,1,"AT5G25890","No"
"AT1G54080",0.0112525211319936,0.420307518959807,0.071,0.087,1,"AT1G54080","No"
"AT4G36440",0.0112683724870846,0.541189385708385,0.192,0.181,1,"AT4G36440","No"
"AT5G48380",0.011328946428045,0.467572197239086,0.479,0.511,1,"AT5G48380","No"
"AT5G51150",0.0113820392906285,0.170183529681958,0.064,0.079,1,"AT5G51150","No"
"AT3G24870",0.0113878637533059,1.78140362599459,0.012,0.007,1,"AT3G24870","No"
"AT2G18330",0.0114433586221672,1.0571947464839,0.035,0.026,1,"AT2G18330","No"
"AT5G15802",0.0114538534689256,0.451403651179553,0.305,0.362,1,"AT5G15802","No"
"AT4G37650",0.011454107921747,0.77907166214647,0.015,0.009,1,"AT4G37650","No"
"AT5G52830",0.0114665598491621,-0.801760304222222,0.006,0.011,1,"AT5G52830","No"
"AT1G76700",0.0114961963631906,0.147275674461148,0.489,0.493,1,"AT1G76700","No"
"AT4G17910",0.0115025472857217,0.107160810839104,0.012,0.019,1,"AT4G17910","No"
"AT3G47820",0.0115169249732801,0.119787910316751,0.07,0.085,1,"AT3G47820","No"
"AT5G17240",0.0115320809412045,-0.403927248641509,0.014,0.02,1,"AT5G17240","No"
"AT4G38150",0.0115514600991581,1.05680610061045,0.039,0.029,1,"AT4G38150","No"
